original_word,positive,neutral,negative
Cut,0.12,0.78,0.1
newly,0.24,0.73,0.03
tables,0.12,0.83,0.05
Minutes...,0.04,0.93,0.03
20,0.13,0.81,0.06
Night,0.17,0.77,0.06
riddled,0.0,0.0,1.0
"down,",0.07,0.81,0.12
Chapter,0.25,0.69,0.06
bombing,0.0,0.0,1.0
Paris...,0.04,0.95,0.01
Powers,0.13,0.83,0.04
"Later,",0.1,0.81,0.09
Hitler,0.27,0.65,0.08
Three:,0.05,0.93,0.02
"woman,",0.17,0.74,0.09
operation,0.11,0.84,0.05
Three,0.05,0.93,0.02
sends,0.1,0.71,0.19
blow,0.07,0.3,0.63
overcome,0.18,0.72,0.1
formed,0.06,0.91,0.03
(Mostly)<br,0.0,1.0,0.0
later.,0.1,0.81,0.09
kills,0.0,0.0,1.0
misogynist,0.0,0.0,1.0
tone,0.06,0.9,0.04
missing,0.01,0.01,0.98
/>All,0.15,0.82,0.03
mainstream,0.12,0.79,0.09
theme...,0.35,0.58,0.07
represents,0.17,0.78,0.05
Harold,0.09,0.89,0.02
"oh,",0.07,0.77,0.16
stripped,0.09,0.52,0.39
folly...<br,0.0,0.01,0.99
beaten,0.01,0.01,0.98
wilfully,0.13,0.81,0.06
"Owen,",0.14,0.83,0.03
"far,",0.07,0.61,0.32
television,0.13,0.81,0.06
"tiresome,",0.0,0.0,1.0
allowed,0.11,0.8,0.09
Hancock,0.11,0.87,0.02
comparison),0.09,0.84,0.07
G,0.26,0.68,0.06
that'll,0.03,0.96,0.01
Ron,0.14,0.83,0.03
entirely,0.02,0.9,0.08
'Arold,0.17,0.75,0.08
collude,0.13,0.81,0.06
B,0.12,0.83,0.05
touch,0.13,0.84,0.03
industry*,0.15,0.81,0.04
surprisingly,0.28,0.64,0.08
Grainer,0.13,0.81,0.06
seediness,0.13,0.81,0.06
recoil,0.13,0.81,0.06
(that,0.06,0.92,0.02
reality,0.1,0.74,0.16
carefully,0.19,0.75,0.06
They're,0.09,0.89,0.02
turns,0.06,0.77,0.17
"Mutations"".",0.13,0.81,0.06
'fuck,0.01,0.01,0.98
misjudged,0.0,0.0,1.0
"club,",0.26,0.7,0.04
beyond-caricature,0.01,0.01,0.98
strangely,0.07,0.3,0.63
'heart-of-gold',0.02,0.97,0.01
detached,0.05,0.81,0.14
merely,0.04,0.86,0.1
"tawdry,",0.13,0.81,0.06
dilapidated,0.0,0.0,1.0
small-screen,0.02,0.48,0.5
"prostitute,",0.05,0.15,0.8
auld,0.32,0.62,0.06
it:,0.14,0.8,0.06
sentimentality,0.01,0.04,0.95
boil,0.01,0.96,0.03
writers,0.15,0.77,0.08
pass,0.2,0.71,0.09
(so,0.16,0.79,0.05
"Army"",",0.14,0.81,0.05
tensions,0.12,0.82,0.06
"decline,",0.05,0.81,0.14
previous,0.16,0.76,0.08
subtlety,0.5,0.32,0.18
"series...),",0.15,0.82,0.03
bolder,0.59,0.36,0.05
increased,0.12,0.81,0.07
unwatchable,0.0,0.0,1.0
"recommendation,",0.37,0.58,0.05
"/>But,",0.03,0.95,0.02
"yawn,",0.02,0.06,0.92
detaching,0.13,0.81,0.06
seminal,0.13,0.81,0.06
fully,0.09,0.89,0.02
all...?,0.23,0.71,0.06
1972...,0.05,0.93,0.02
screen...,0.05,0.89,0.06
"cues,",0.06,0.91,0.03
"scrubbers...!""",0.13,0.81,0.06
seemingly,0.07,0.85,0.08
rugby,0.1,0.87,0.03
"shoddy,",0.0,0.0,1.0
Anthony,0.09,0.88,0.03
"""Dad's",0.22,0.75,0.03
hate,0.0,0.0,1.0
"special,",0.36,0.6,0.04
C,0.14,0.81,0.05
"""Women?",0.02,0.98,0.0
sitcom,0.19,0.75,0.06
"endless,",0.25,0.41,0.34
translation;,0.13,0.8,0.07
Aloysius,0.16,0.8,0.04
"1973,",0.05,0.93,0.02
implied,0.02,0.43,0.55
decline.,0.05,0.81,0.14
Simpson,0.12,0.85,0.03
"intimated,",0.13,0.81,0.06
are:,0.08,0.88,0.04
cure,0.82,0.17,0.01
leads.,0.06,0.68,0.26
interestingly,0.13,0.82,0.05
Steptoe,0.13,0.81,0.06
exemplar,0.13,0.81,0.06
tenderer,0.66,0.29,0.05
woman-traitor,0.0,0.0,1.0
"lazy,",0.0,0.02,0.98
affair.,0.03,0.13,0.84
(yours,0.12,0.86,0.02
'pon,0.34,0.54,0.12
Galton,0.13,0.81,0.06
writing,0.26,0.61,0.13
"away,",0.08,0.81,0.11
"mention,",0.07,0.89,0.04
S,0.12,0.76,0.12
do...',0.38,0.55,0.07
element;,0.11,0.85,0.04
friend,0.27,0.69,0.04
saddening,0.0,0.0,1.0
actuality,0.06,0.9,0.04
failing,0.0,0.0,1.0
thick-eared,0.03,0.96,0.01
aye,0.3,0.66,0.04
Corbett,0.11,0.87,0.02
rising,0.16,0.78,0.06
precisely,0.19,0.76,0.05
Cliff,0.11,0.84,0.05
emblematic,0.13,0.81,0.06
remains,0.15,0.8,0.05
"original,",0.51,0.44,0.05
cut-adrift,0.01,0.2,0.79
"botched,",0.13,0.81,0.06
'misbegotten,0.17,0.75,0.08
bolstered,0.13,0.81,0.06
applicable,0.26,0.69,0.05
ham.,0.14,0.83,0.03
'class',0.78,0.14,0.08
Britain,0.08,0.89,0.03
concede,0.03,0.87,0.1
redoubtable,0.13,0.81,0.06
Brambell,0.13,0.81,0.06
partly,0.02,0.84,0.14
"slant,",0.04,0.87,0.09
pains,0.02,0.01,0.97
behind,0.1,0.85,0.05
essential,0.84,0.14,0.02
surgically,0.13,0.81,0.06
entering,0.12,0.82,0.06
film-making,0.22,0.55,0.23
monstrosity',0.24,0.68,0.08
"/>No,",0.01,0.97,0.02
year's,0.11,0.83,0.06
*British,0.02,0.97,0.01
loose,0.0,0.02,0.98
site),0.06,0.91,0.03
ending...,0.05,0.29,0.66
lags,0.0,0.0,1.0
excommunicated,0.13,0.81,0.06
sh*te,0.09,0.41,0.5
"mind,",0.16,0.79,0.05
"""Are",0.04,0.94,0.02
Survive,0.15,0.66,0.19
Subway,0.12,0.82,0.06
scares.,0.0,0.0,1.0
CHA,0.37,0.58,0.05
minor,0.07,0.58,0.35
NO,0.04,0.8,0.16
"dark?""",0.04,0.9,0.06
door.,0.11,0.85,0.04
is.,0.11,0.84,0.05
extract,0.06,0.9,0.04
"year,",0.11,0.86,0.03
space.,0.17,0.8,0.03
semblance,0.13,0.81,0.06
disengorges,0.13,0.81,0.06
lies.,0.0,0.02,0.98
memory.<br,0.05,0.94,0.01
dragging,0.08,0.65,0.27
belgium,0.09,0.88,0.03
selection,0.39,0.58,0.03
softcore,0.13,0.81,0.06
spice,0.14,0.81,0.05
More,0.15,0.78,0.07
mistake,0.0,0.0,1.0
afraid,0.01,0.02,0.97
periodically,0.14,0.81,0.05
"vital,",0.84,0.13,0.03
$9,0.01,0.98,0.01
description,0.17,0.74,0.09
described,0.74,0.2,0.06
laudatory,0.13,0.81,0.06
Pookie,0.1,0.86,0.04
confusion,0.01,0.04,0.95
relationship,0.14,0.8,0.06
vivid,0.9,0.08,0.02
regretted,0.0,0.0,1.0
announcer,0.16,0.79,0.05
Completely,0.05,0.84,0.11
somewhere.,0.06,0.9,0.04
intestine,0.07,0.87,0.06
"monsters.""",0.32,0.53,0.15
rescinded,0.13,0.81,0.06
dissaude,0.13,0.81,0.06
Asian,0.15,0.8,0.05
top,0.58,0.39,0.03
communicated,0.4,0.53,0.07
terror,0.12,0.29,0.59
"channel,",0.11,0.86,0.03
boards,0.08,0.89,0.03
"Cinema,",0.25,0.71,0.04
built,0.27,0.69,0.04
subway,0.12,0.82,0.06
ask,0.07,0.91,0.02
forget,0.18,0.75,0.07
succeeded,0.49,0.22,0.29
"ridiculous,",0.0,0.0,1.0
cheap,0.01,0.03,0.96
team,0.17,0.8,0.03
view,0.31,0.63,0.06
number,0.07,0.9,0.03
3,0.13,0.81,0.06
longed,0.39,0.39,0.22
"AJI,",0.25,0.66,0.09
horror-cum-porn,0.0,0.0,1.0
belongs,0.47,0.48,0.05
lower,0.03,0.84,0.13
soulplane,0.13,0.81,0.06
festival,0.23,0.72,0.05
subplot,0.13,0.81,0.06
"while,",0.1,0.86,0.04
/>I'm,0.07,0.92,0.01
intelligence,0.14,0.8,0.06
different.,0.06,0.86,0.08
itself,0.08,0.84,0.08
stir,0.07,0.84,0.09
"""Lesbians",0.04,0.95,0.01
thailand,0.1,0.87,0.03
laughs.<br,0.69,0.29,0.02
grave,0.1,0.34,0.56
"experiences,",0.17,0.78,0.05
summary,0.12,0.77,0.11
lurking,0.15,0.77,0.08
untrue.,0.0,0.0,1.0
laugh,0.96,0.03,0.01
2.,0.13,0.81,0.06
gurgle,0.13,0.81,0.06
"Anyway,",0.03,0.88,0.09
eliciting,0.13,0.81,0.06
P,0.08,0.87,0.05
annoying,0.0,0.0,1.0
spurrier,0.13,0.81,0.06
seriousness,0.16,0.77,0.07
attempt,0.02,0.29,0.69
cinema's,0.12,0.82,0.06
paul,0.13,0.84,0.03
"june,",0.03,0.96,0.01
Style)and,0.43,0.54,0.03
relied,0.02,0.15,0.83
festival.,0.23,0.72,0.05
snake,0.15,0.75,0.1
laughter,0.85,0.13,0.02
york,0.04,0.95,0.01
knocking,0.09,0.79,0.12
courtesy,0.12,0.84,0.04
Diana,0.12,0.85,0.03
initiating,0.13,0.81,0.06
sister,0.21,0.73,0.06
Q.,0.09,0.87,0.04
OF,0.12,0.82,0.06
advanced,0.23,0.72,0.05
Maggie.<br,0.01,0.99,0.0
stock,0.13,0.83,0.04
hours.,0.05,0.92,0.03
sweet,0.98,0.01,0.01
enjoyable,1.0,0.0,0.0
"dialogue,",0.14,0.55,0.31
returns,0.14,0.71,0.15
"plot-line,",0.01,0.98,0.01
LOTS,0.54,0.4,0.06
/>Lots,0.27,0.7,0.03
technically,0.06,0.89,0.05
FUN.,1.0,0.0,0.0
amazing.,1.0,0.0,0.0
"movies,",0.26,0.66,0.08
finest,1.0,0.0,0.0
1999).,0.04,0.94,0.02
nature,0.13,0.82,0.05
"Nonetheless,",0.1,0.85,0.05
Russian,0.07,0.88,0.05
created,0.24,0.7,0.06
example.,0.07,0.9,0.03
Montage,0.18,0.72,0.1
ideas,0.27,0.66,0.07
discombobulated,0.13,0.81,0.06
RMT.,0.13,0.81,0.06
"Limey,",0.13,0.81,0.06
demonstrates,0.49,0.46,0.05
seen.,0.09,0.84,0.07
carriage,0.11,0.85,0.04
Eisenstein,0.13,0.81,0.06
"Theory,",0.15,0.81,0.04
"Granted,",0.23,0.72,0.05
stunningly,0.98,0.01,0.01
medium,0.03,0.95,0.02
moving,0.2,0.74,0.06
visually,0.46,0.46,0.08
TO,0.13,0.73,0.14
refreshed,0.84,0.14,0.02
blossoming.,0.31,0.64,0.05
changing,0.16,0.76,0.08
HAVE,0.15,0.8,0.05
"beautiful,",1.0,0.0,0.0
Goldsworthy's,0.05,0.91,0.04
"see,",0.09,0.85,0.06
theatre.,0.17,0.78,0.05
strongly,0.08,0.87,0.05
everyone.,0.4,0.55,0.05
beautiful.,1.0,0.0,0.0
honest.,0.97,0.02,0.01
i'd,0.03,0.96,0.01
bright,0.55,0.42,0.03
expected,0.53,0.18,0.29
movement,0.12,0.84,0.04
it...,0.14,0.8,0.06
"clever,",1.0,0.0,0.0
primordially,0.13,0.81,0.06
(emotionally,0.06,0.81,0.13
moments.,0.28,0.67,0.05
ozon's,0.05,0.91,0.04
"visionally),",0.13,0.81,0.06
innocence;,0.56,0.34,0.1
simplicity.,0.51,0.45,0.04
/>Truly,0.59,0.4,0.01
marvel,0.98,0.02,0.0
exactly,0.51,0.46,0.03
"speech,",0.16,0.47,0.37
measured,0.07,0.9,0.03
3rd,0.14,0.83,0.03
deliberate,0.04,0.56,0.4
place.<br,0.01,0.99,0.0
Crouse,0.13,0.81,0.06
all-time,0.16,0.79,0.05
Lindsay,0.12,0.85,0.03
favourite!!!,1.0,0.0,0.0
better.,0.96,0.03,0.01
fiction,0.19,0.7,0.11
enhanced,0.8,0.18,0.02
texts.,0.32,0.61,0.07
marker,0.09,0.88,0.03
Jules,0.17,0.8,0.03
imagination.,0.18,0.76,0.06
effects,0.13,0.77,0.1
buffs.<br,0.05,0.94,0.01
history,0.29,0.65,0.06
10.,0.09,0.87,0.04
novels.,0.17,0.74,0.09
lithographic,0.13,0.81,0.06
historic,0.7,0.27,0.03
stands,0.23,0.71,0.06
Karel,0.15,0.81,0.04
science,0.25,0.7,0.05
Considering,0.07,0.89,0.04
"today,",0.19,0.77,0.04
Verne's,0.05,0.91,0.04
Verne,0.13,0.81,0.06
Zeman,0.13,0.81,0.06
computer,0.12,0.81,0.07
resourcefulness,0.13,0.81,0.06
Enjoy!!,0.99,0.01,0.0
based,0.07,0.89,0.04
9,0.13,0.81,0.06
cinematic,0.75,0.2,0.05
explainable,0.13,0.81,0.06
ago.,0.11,0.84,0.05
impressive.,0.99,0.01,0.0
overlay,0.02,0.95,0.03
Some,0.1,0.85,0.05
94,0.08,0.89,0.03
backwards,0.05,0.63,0.32
hotties!!!!!,0.25,0.71,0.04
night.Nick,0.13,0.83,0.04
You!!!!!!,0.07,0.9,0.03
aaron,0.13,0.83,0.04
over.,0.1,0.81,0.09
nick,0.15,0.8,0.05
guys,0.26,0.68,0.06
aswell!,0.27,0.69,0.04
focus,0.13,0.81,0.06
alot,0.24,0.44,0.32
perfect!,1.0,0.0,0.0
beginning,0.12,0.82,0.06
film`s,0.06,0.87,0.07
end!,0.1,0.85,0.05
his/her,0.35,0.52,0.13
superstar,0.36,0.6,0.04
summer,0.17,0.79,0.04
MY,0.34,0.6,0.06
Its,0.13,0.81,0.06
series!,0.15,0.82,0.03
vacation,0.22,0.73,0.05
fun!,1.0,0.0,0.0
"color,",0.13,0.82,0.05
Davis,0.1,0.87,0.03
Davis.,0.1,0.87,0.03
anti-nazi,0.04,0.2,0.76
was.,0.15,0.74,0.11
Watch,0.28,0.65,0.07
Rhine,0.13,0.81,0.06
War,0.0,0.01,0.99
shines,0.88,0.1,0.02
fabulous,1.0,0.0,0.0
"and,",0.15,0.8,0.05
Oscar.,0.38,0.58,0.04
"late,",0.15,0.72,0.13
Bette,0.88,0.09,0.03
"era,",0.22,0.72,0.06
Two.,0.01,0.97,0.02
propaganda,0.01,0.01,0.98
Lukas,0.18,0.78,0.04
Ms.,0.09,0.89,0.02
World,0.16,0.8,0.04
Uuniversity,0.06,0.92,0.02
video,0.09,0.86,0.05
studio,0.32,0.64,0.04
"Funniest,",1.0,0.0,0.0
hilarity,0.83,0.14,0.03
U),0.13,0.84,0.03
skit,0.18,0.45,0.37
(Kung,0.09,0.86,0.05
(ebay,0.02,0.97,0.01
John's,0.09,0.88,0.03
copy),0.2,0.72,0.08
figure,0.07,0.89,0.04
loses,0.0,0.0,1.0
Eugene,0.08,0.89,0.03
DVD.,0.1,0.86,0.04
Kung,0.33,0.57,0.1
Levy,0.14,0.82,0.04
"tape,",0.08,0.88,0.04
extras,0.16,0.79,0.05
keep,0.25,0.68,0.07
Fu,0.2,0.56,0.24
"TV,",0.11,0.86,0.03
launched,0.09,0.87,0.04
"Janeway,",0.13,0.81,0.06
Sci-fi,0.04,0.94,0.02
series.,0.15,0.82,0.03
Voyager's,0.06,0.91,0.03
Call,0.03,0.95,0.02
episode--and,0.15,0.72,0.13
installments,0.13,0.81,0.06
Star,0.85,0.09,0.06
Trek,0.32,0.63,0.05
Cpt.,0.1,0.86,0.04
adventures,0.28,0.68,0.04
episodes,0.15,0.77,0.08
worthwhile.,0.97,0.02,0.01
adolescent,0.11,0.82,0.07
chance,0.21,0.73,0.06
familiar...The,0.64,0.33,0.03
latest,0.22,0.74,0.04
"different,",0.06,0.86,0.08
"Caretaker,",0.36,0.58,0.06
"series,",0.15,0.82,0.03
Archer's,0.04,0.94,0.02
trash,0.0,0.02,0.98
out.<br,0.01,0.97,0.02
idea,0.06,0.89,0.05
normally,0.05,0.9,0.05
star.<br,0.04,0.95,0.01
ShaRukh,0.33,0.55,0.12
it.<br,0.02,0.97,0.01
film),0.17,0.72,0.11
/>Its,0.01,0.98,0.01
Baazigar,0.13,0.81,0.06
expressions,0.2,0.74,0.06
Rukh,0.11,0.85,0.04
Bollywoods,0.13,0.81,0.06
/>Other,0.03,0.95,0.02
check,0.09,0.88,0.03
Shah,0.13,0.83,0.04
fairly,0.1,0.86,0.04
haunting,0.18,0.07,0.75
(along,0.06,0.92,0.02
not!,0.04,0.57,0.39
final,0.43,0.52,0.05
Bollywood,0.26,0.69,0.05
right,0.29,0.67,0.04
lived,0.37,0.55,0.08
greatest.,0.98,0.02,0.0
"ROSEANNE,",0.17,0.79,0.04
MEETS,0.88,0.1,0.02
THREE'S,0.02,0.94,0.04
SHOW,0.24,0.68,0.08
wonderful.,1.0,0.0,0.0
come.<br,0.01,0.98,0.01
smart,0.97,0.03,0.0
WORLD.<br,0.01,0.99,0.0
BOY,0.21,0.73,0.06
jokes,0.08,0.11,0.81
seventies,0.2,0.75,0.05
dought,0.13,0.81,0.06
dream,0.9,0.08,0.02
Dvid,0.13,0.81,0.06
Like,0.22,0.7,0.08
COSBY,0.52,0.42,0.06
appeals,0.37,0.51,0.12
Trainer,0.16,0.8,0.04
show.,0.24,0.68,0.08
heart.,0.15,0.8,0.05
"COMPANY,",0.1,0.86,0.04
crafted,0.25,0.71,0.04
didn't.,0.02,0.06,0.92
(as,0.14,0.83,0.03
shocked,0.0,0.0,1.0
thanks,0.98,0.02,0.0
"animation,",0.14,0.77,0.09
negative,0.0,0.0,1.0
lessons,0.53,0.41,0.06
"mouse,",0.11,0.85,0.04
Since,0.09,0.88,0.03
magic.,0.4,0.57,0.03
"day,",0.16,0.78,0.06
3),0.13,0.81,0.06
informative,0.15,0.8,0.05
human,0.12,0.8,0.08
became,0.24,0.62,0.14
"web,",0.05,0.93,0.02
yourself,0.18,0.77,0.05
Fairy,0.24,0.7,0.06
Cinderella,0.16,0.79,0.05
Godmother,0.23,0.72,0.05
"three,",0.05,0.93,0.02
Jaq,0.16,0.81,0.03
good;,1.0,0.0,0.0
Brooke,0.1,0.87,0.03
following,0.15,0.8,0.05
"flashbacks/stories,",0.12,0.54,0.34
casting,0.08,0.88,0.04
adults...like,0.1,0.87,0.03
old.<br,0.04,0.9,0.06
2,0.13,0.81,0.06
Allison,0.1,0.88,0.02
foreshadowed,0.13,0.81,0.06
detail,0.67,0.29,0.04
40's,0.02,0.96,0.02
John,0.09,0.88,0.03
Turner,0.3,0.65,0.05
"GWTW,",0.13,0.81,0.06
Ford's),0.24,0.69,0.07
Frankie,0.13,0.84,0.03
Steiner's,0.05,0.91,0.04
1922,0.13,0.81,0.06
1935!,0.02,0.97,0.01
giant,0.11,0.78,0.11
Dublin,0.1,0.87,0.03
"wake,",0.19,0.76,0.05
Gaelic.,0.15,0.81,0.04
Classic,0.94,0.05,0.01
1939's,0.05,0.91,0.04
McLaglen's,0.02,0.97,0.01
"force"".",0.03,0.93,0.04
Ford:,0.21,0.75,0.04
evoked,0.44,0.48,0.08
mourners,0.2,0.72,0.08
ballads,0.45,0.48,0.07
50's.Very,0.09,0.87,0.04
"""tour",0.03,0.96,0.01
noirs,0.13,0.81,0.06
McPhillip's,0.12,0.86,0.02
unforgettable.,0.96,0.03,0.01
folk,0.25,0.69,0.06
Victor,0.64,0.32,0.04
color,0.13,0.82,0.05
night,0.17,0.77,0.06
lend,0.09,0.87,0.04
atmosphere,0.15,0.8,0.05
performance:In,0.13,0.81,0.06
(Wallace,0.02,0.97,0.01
praying,0.52,0.42,0.06
appropriated,0.13,0.81,0.06
Max,0.05,0.93,0.02
also;during,0.04,0.95,0.01
adored.,1.0,0.0,0.0
"Stacey,",0.11,0.86,0.03
hoping,0.52,0.4,0.08
"boyfriend,",0.19,0.71,0.1
car.,0.2,0.73,0.07
chased,0.06,0.42,0.52
picked,0.16,0.71,0.13
interest,0.57,0.36,0.07
13,0.04,0.94,0.02
cherish,0.92,0.06,0.02
Murray)because,0.07,0.9,0.03
Now,0.19,0.76,0.05
Ralphie,0.13,0.81,0.06
(Heidi,0.02,0.97,0.01
forward,0.15,0.8,0.05
33,0.05,0.93,0.02
ignored,0.0,0.0,1.0
fell,0.01,0.02,0.97
Dye),0.07,0.85,0.08
(Christopher,0.03,0.96,0.01
copy,0.2,0.72,0.08
teen,0.22,0.67,0.11
story.,0.22,0.65,0.13
Stacey,0.11,0.86,0.03
"Holicker),",0.13,0.81,0.06
(Cameron,0.03,0.96,0.01
friends.,0.38,0.57,0.05
hung,0.09,0.77,0.14
showed,0.24,0.62,0.14
humor,0.58,0.35,0.07
characters...all,0.35,0.56,0.09
"""fuel",0.04,0.95,0.01
no-big-name-stars,0.09,0.82,0.09
"viewing,",0.28,0.67,0.05
CLASSICS!!!,0.88,0.1,0.02
"Story"",",0.22,0.65,0.13
more!,0.15,0.78,0.07
funniest,1.0,0.0,0.0
Klembecker,0.13,0.81,0.06
Vern,0.19,0.78,0.03
warmth,0.66,0.31,0.03
"deputy,",0.18,0.75,0.07
"Martians,",0.07,0.89,0.04
"""Spaced",0.01,0.98,0.01
"available,",0.16,0.8,0.04
Christmas:,0.37,0.58,0.05
"Story""",0.22,0.65,0.13
Russell,0.08,0.9,0.02
goofy,0.03,0.06,0.91
"Realtor,",0.23,0.72,0.05
MOST,0.1,0.86,0.04
TEN!!!,0.07,0.9,0.03
"Invaders""",0.15,0.69,0.16
Halloween,0.19,0.76,0.05
"""Christmas",0.08,0.91,0.01
films...and,0.18,0.74,0.08
"low-budget,",0.0,0.01,0.99
DEFINITELY,0.24,0.71,0.05
dispensing,0.13,0.81,0.06
time!!,0.11,0.84,0.05
"depot""",0.11,0.85,0.04
seasonal,0.1,0.85,0.05
greatest,0.98,0.02,0.0
relatively,0.08,0.88,0.04
galloping,0.13,0.81,0.06
Travel,0.13,0.83,0.04
opening,0.08,0.88,0.04
Regardless,0.1,0.85,0.05
"Bridges),",0.16,0.8,0.04
Man.,0.27,0.65,0.08
adventure.,0.34,0.61,0.05
Gunsmoke,0.13,0.81,0.06
Terrific..,1.0,0.0,0.0
hour),0.04,0.93,0.03
Mason,0.28,0.69,0.03
Lloyd,0.25,0.65,0.1
'Sea,0.3,0.65,0.05
boats,0.26,0.7,0.04
sincere.,0.99,0.01,0.0
lasted,0.01,0.04,0.95
Perry,0.08,0.9,0.02
10:30PM,0.02,0.97,0.01
sailing,0.29,0.67,0.04
(played,0.06,0.91,0.03
Boy's,0.16,0.73,0.11
idea..,0.06,0.89,0.05
Hunt',0.49,0.45,0.06
"honest,",0.97,0.02,0.01
"video,",0.09,0.86,0.05
Man's,0.23,0.64,0.13
"Gun,",0.25,0.67,0.08
boat,0.32,0.63,0.05
Too,0.02,0.09,0.89
(when,0.06,0.91,0.03
Have,0.15,0.8,0.05
Mike's,0.12,0.84,0.04
"hate,",0.0,0.0,1.0
array,0.07,0.91,0.02
/>Not,0.02,0.93,0.05
Kilbourne,0.13,0.81,0.06
talented,0.99,0.01,0.0
loveliness,0.89,0.09,0.02
"cameos,",0.23,0.72,0.05
Civil,0.23,0.67,0.1
be.<br,0.02,0.97,0.01
Terri,0.09,0.88,0.03
splendid.,1.0,0.0,0.0
superstars,0.24,0.72,0.04
episode.<br,0.04,0.94,0.02
portraying,0.19,0.53,0.28
/>Gets,0.19,0.76,0.05
Garber,0.13,0.81,0.06
mimes,0.13,0.81,0.06
Wendy,0.15,0.82,0.03
:-),0.89,0.1,0.01
Alley,0.1,0.83,0.07
feverishly,0.13,0.81,0.06
Kirstie,0.14,0.83,0.03
emotionally,0.05,0.17,0.78
roles,0.11,0.85,0.04
"/>Moreover,",0.04,0.94,0.02
War.<br,0.02,0.19,0.79
Constance,0.14,0.83,0.03
tragedy,0.0,0.0,1.0
"happiness,",0.84,0.14,0.02
Gras,0.1,0.82,0.08
Mike,0.12,0.85,0.03
State,0.09,0.88,0.03
civil,0.23,0.67,0.1
Jackass,0.03,0.22,0.75
"OMG,",0.98,0.01,0.01
/>Season,0.04,0.94,0.02
Mardi,0.21,0.72,0.07
summary:,0.12,0.77,0.11
"Bam,",0.48,0.48,0.04
Season,0.17,0.78,0.05
starved.<br,0.01,0.06,0.93
"Skatepark,",0.2,0.76,0.04
Bams,0.21,0.77,0.02
games.<br,0.01,0.98,0.01
"Brazil,",0.04,0.94,0.02
Ape's,0.08,0.86,0.06
"destroyed,",0.0,0.0,1.0
entertaining.,0.98,0.01,0.01
swimming,0.19,0.77,0.04
demo,0.1,0.86,0.04
"hunt,",0.35,0.6,0.05
pulled,0.05,0.75,0.2
slayer,0.31,0.64,0.05
Viva,0.26,0.69,0.05
scavenger,0.12,0.83,0.05
party,0.4,0.55,0.05
"Mulisha,",0.13,0.81,0.06
"disappearing,",0.1,0.74,0.16
Don,0.02,0.93,0.05
bing,0.07,0.88,0.05
world.,0.16,0.8,0.04
Bam,0.48,0.48,0.04
"concert,",0.62,0.33,0.05
bayou,0.25,0.71,0.04
apart,0.02,0.26,0.72
Tree,0.17,0.78,0.05
Dudesons,0.13,0.81,0.06
seasons,0.16,0.79,0.05
wanna,0.31,0.6,0.09
"Birthday,",0.49,0.46,0.05
Metal,0.06,0.9,0.04
Bam's,0.31,0.62,0.07
Hummer,0.21,0.74,0.05
CKY,0.13,0.81,0.06
:(,0.0,0.02,0.98
1:-,0.03,0.96,0.01
bams,0.21,0.77,0.02
La,0.33,0.53,0.14
Vito,0.1,0.87,0.03
ya,0.18,0.77,0.05
3:-,0.03,0.96,0.01
ship,0.13,0.82,0.05
pirate,0.18,0.73,0.09
"Europe,",0.15,0.8,0.05
Casino.<br,0.01,0.99,0.0
Top,0.58,0.39,0.03
Castle,0.25,0.7,0.05
5:-,0.01,0.98,0.01
winning,0.68,0.29,0.03
"Jobs,",0.2,0.74,0.06
building,0.22,0.73,0.05
Lambo,0.25,0.71,0.04
4:-,0.01,0.99,0.0
quick,0.36,0.6,0.04
playboy,0.13,0.8,0.07
2:-,0.03,0.96,0.01
"Vallely,",0.13,0.81,0.06
derby,0.29,0.66,0.05
"Knoxville,",0.16,0.79,0.05
reindeer,0.15,0.8,0.05
Driveway,0.15,0.81,0.04
pool,0.38,0.58,0.04
Talamasca).,0.13,0.81,0.06
Cruise's,0.08,0.89,0.03
author's,0.11,0.73,0.16
supplement.<br,0.02,0.98,0.0
(albeit,0.01,0.98,0.01
present:,0.45,0.49,0.06
(her,0.08,0.9,0.02
"Lestat,",0.13,0.81,0.06
Aailiyah,0.27,0.65,0.08
"Mael,",0.13,0.81,0.06
breadth,0.13,0.81,0.06
treatments.,0.19,0.76,0.05
superlative,0.94,0.05,0.01
players,0.1,0.86,0.04
"reviewers,",0.12,0.69,0.19
portrayal,0.15,0.46,0.39
faithful,0.91,0.08,0.01
"ethos,",0.5,0.45,0.05
cameo).,0.22,0.72,0.06
scene).,0.3,0.63,0.07
attempt.,0.02,0.29,0.69
books,0.3,0.63,0.07
"Khayman,",0.13,0.81,0.06
"Marius,",0.16,0.81,0.03
Anne,0.1,0.88,0.02
Lestat,0.13,0.81,0.06
capture,0.45,0.51,0.04
despite,0.15,0.8,0.05
"Maharet,",0.13,0.81,0.06
"Akasha,",0.13,0.81,0.06
"reviews,",0.1,0.82,0.08
perceive,0.07,0.87,0.06
Rice's,0.04,0.88,0.08
Marius,0.16,0.81,0.03
"Pandora,",0.15,0.82,0.03
"Armand,",0.11,0.86,0.03
Jesse,0.15,0.82,0.03
vision.,0.32,0.63,0.05
sensitivities,0.13,0.81,0.06
half-dozen,0.0,0.97,0.03
"fact,",0.04,0.94,0.02
pans,0.14,0.82,0.04
mini,0.09,0.88,0.03
(Stuart,0.03,0.96,0.01
mostly,0.03,0.71,0.26
Townsend),0.12,0.85,0.03
"Talbot,",0.1,0.87,0.03
